NAME;ADDRESS;TYPE;LOCATION;SUMMER_HOURS;WINTER_HOURS;WHEEL_ACCESS;MAINTAINER;NOTE;Geom;Geo Local Area;PRIMARYIND
Andy Livingstone Park;89 Expo Boulevard;Public Toilet in Park;South side, fieldhouse;10:00 am - 11:00 pm;10:00 am - 11:00 pm;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.103599022256, 49.2778209665246]}";Downtown;2
Bobolink Park;2510 Hoylake Avenue;Public Toilet in Park;North side, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.056414955041, 49.2156069867489]}";Victoria-Fraserview;6
Chaldecott Park;4175 Wallace Street;Public Toilet in Park;East side fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.19112496205, 49.2494269600837]}";Dunbar-Southlands;12
Collingwood Park;5275 McKinnon Street;Public Toilet in Park;South corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.036715960679, 49.2365299637476]}";Renfrew-Collingwood;14
English Bay Beach Park;1700 Beach Avenue;Public Toilet in Park;Bathhouse;7:00 am - Dusk;10:00 am - Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.142804967084, 49.2861540400257]}";West End;18
Fraser River Park;8705 Angus Drive;Public Toilet in Park;West corner;Dawn to Dusk;Closed;No;Parks & Recreation;April 1 to October 31;"{""type"": ""Point"", ""coordinates"": [-123.149856004532, 49.2073949985982]}";Kerrisdale;20
Fraserview Golf Course;7800 Vivian Drive;Public Toilet in Park;Kerr Road @13th hole;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.042299667586, 49.2112953517694]}";Killarney;21
Gordon Park;6675 Commercial Street;Public Toilet in Park;East side;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.069499978534, 49.2238700450659]}";Victoria-Fraserview;23
Harbour Green Park;1199 W Cordova Street;Public Toilet in Park;Central;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.121466998595, 49.2898040141255]}";Downtown;28
Locarno Park;4445 NW Marine Drive;Public Toilet in Park;Concession at fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.206555013072, 49.2750659923232]}";West Point Grey;38
MacLean Park;710 Keefer Street;Public Toilet in Park;North west corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.0893660404, 49.27900702288]}";Strathcona;39
Moberly Park;7646 Prince Albert Street;Public Toilet in Park;South west corner at Community Hall;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.087354978911, 49.2152529959461]}";Sunset;44
Nanaimo Park;2390 E 46th Avenue;Public Toilet in Park;North side, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.057429042023, 49.2282419990449]}";Victoria-Fraserview;46
Norquay Park;5050 Wales Street;Public Toilet in Park;West side, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.051424959911, 49.2379749903438]}";Renfrew-Collingwood;49
Oppenheimer Park;400 Powell Street;Public Toilet in Park;North east corner;Tue - Sat 9:00 am - 8:00 pm;Tue - Sat 9:00 am - 5:00 pm;No;Parks & Recreation;Family washroom available;"{""type"": ""Point"", ""coordinates"": [-123.094181035354, 49.2829379681762]}";Strathcona;51
Pandora Park;2325 Franklin Street;Public Toilet in Park;South side, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.057478049186, 49.2822799986755]}";Grandview-Woodland;52
Queen Elizabeth Park;4600 Cambie Street;Public Toilet in Park;Fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.111577056628, 49.2389380178008]}";Riley Park;54
Queen Elizabeth Park;4600 Cambie Street;Public Toilet in Park;"Under ""Seasons""";7:30 am - 9:00 pm;7:30 am - 9:00 pm;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.112844975315, 49.2422110176667]}";Riley Park;56
Rupert Park;1600 Rupert Street;Public Toilet in Park;Pitch & Putt (north side);Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.030682959269, 49.2730500015562]}";Hastings-Sunrise;62
Spanish Banks Beach Park;4801 NW Marine Drive;Public Toilet in Park;West, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.222679055401, 49.2774719860241]}";West Point Grey;64
Spanish Banks Beach Park;4801 NW Marine Drive;Public Toilet in Park;East, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.21492003747, 49.2762439755221]}";West Point Grey;65
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Train, Picnic Shelter;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.132923042179, 49.3020690032254]}";;66
Stanley Park;2000 W Georgia Street;Public Toilet in Park;3rd Beach, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Wheelchair accessible at parking lot level, Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.155931048676, 49.3031529920237]}";;69
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Aquarium plaza;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.13070000487, 49.2998679959831]}";;70
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Brockton Oval;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible, Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.126023002581, 49.2996259645902]}";;71
